race_date,race_id,profile_id
2026-04-16,202604160210,l1_weak_234_box_v1
2026-04-16,202604160307,h_a_final_day_cut_v1
2026-04-16,202604160803,4wind_base_415
2026-04-16,202604160807,l1_weak_234_box_v1
2026-04-16,202604160808,h_a_final_day_cut_v1
2026-04-16,202604160810,l3_weak_124_box_one_a_ex241_v1
2026-04-16,202604160908,c2_provisional_v1
2026-04-16,202604161206,l3_weak_124_box_one_a_ex241_v1
2026-04-16,202604161606,l1_weak_234_box_v1
2026-04-16,202604161612,l1_weak_234_box_v1
2026-04-16,202604162006,l3_weak_124_box_one_a_ex241_v1
2026-04-16,202604162101,l1_weak_234_box_v1
